Freq.	V(vc)/V(vin)	V(vin)/I(CB)	V(vc)/Ic(Q1)
5.01187233627270e+04	(4.56372477877739e+01dB,-1.79732270379873e+02°)	(6.72304938981031e+01dB,1.57019475954915e+02°)	(7.41599149284899e+01dB,1.79999999999999e+02°)
5.62341325190347e+04	(4.56373186476832e+01dB,-1.79859536678359e+02°)	(6.70613421894068e+01dB,1.54635345185676e+02°)	(7.41599149284674e+01dB,-1.80000000000000e+02°)
6.30957344480191e+04	(4.56373470084429e+01dB,-1.79984940557582e+02°)	(6.68573939760474e+01dB,1.52068256598878e+02°)	(7.41599149284919e+01dB,-1.79999999999999e+02°)
7.07945784384135e+04	(4.56373343795341e+01dB,1.79889855167045e+02°)	(6.66135847136902e+01dB,1.49329990211431e+02°)	(7.41599149284877e+01dB,-1.79999999999999e+02°)
7.94328234724278e+04	(4.56372800887879e+01dB,1.79763190301536e+02°)	(6.63249467959696e+01dB,1.46439615623987e+02°)	(7.41599149284946e+01dB,-1.79999999999999e+02°)
8.91250938133742e+04	(4.56371812466686e+01dB,1.79633385386956e+02°)	(6.59869250260117e+01dB,1.43423811227648e+02°)	(7.41599149284493e+01dB,-1.80000000000000e+02°)
9.99999999999995e+04	(4.56370325927505e+01dB,1.79498719571385e+02°)	(6.55957237452611e+01dB,1.40316456203902e+02°)	(7.41599149284322e+01dB,1.79999999999996e+02°)
1.12201845430196e+05	(4.56368262162879e+01dB,1.79357407965528e+02°)	(6.51486382952483e+01dB,1.37157382838522e+02°)	(7.41599149284371e+01dB,1.79999999999997e+02°)
1.25892541179416e+05	(4.56365511361511e+01dB,1.79207578204375e+02°)	(6.46443149363288e+01dB,1.33990336637532e+02°)	(7.41599149284747e+01dB,-1.79999999999998e+02°)
1.41253754462275e+05	(4.56361927180179e+01dB,1.79047245933458e+02°)	(6.40828892700177e+01dB,1.30860377090235e+02°)	(7.41599149284583e+01dB,-1.79999999999999e+02°)
1.58489319246111e+05	(4.56357318982126e+01dB,1.78874288934199e+02°)	(6.34659746639113e+01dB,1.27811098912166e+02°)	(7.41599149284568e+01dB,1.79999999999998e+02°)
1.77827941003891e+05	(4.56351441735389e+01dB,1.78686419599772e+02°)	(6.27965033355003e+01dB,1.24882103578003e+02°)	(7.41599149284860e+01dB,-1.80000000000000e+02°)
1.99526231496887e+05	(4.56343983043977e+01dB,1.78481155472451e+02°)	(6.20784529995489e+01dB,1.22107082750890e+02°)	(7.41599149284616e+01dB,1.79999999999999e+02°)
2.23872113856833e+05	(4.56334546638475e+01dB,1.78255787558228e+02°)	(6.13165111693648e+01dB,1.19512717580637e+02°)	(7.41599149284314e+01dB,1.79999999999991e+02°)
2.51188643150957e+05	(4.56322631474119e+01dB,1.78007346148063e+02°)	(6.05157325778215e+01dB,1.17118412614593e+02°)	(7.41599149285034e+01dB,-1.79999999999991e+02°)
2.81838293126444e+05	(4.56307605366329e+01dB,1.77732563902687e+02°)	(5.96812348113345e+01dB,1.14936731726478e+02°)	(7.41599149284501e+01dB,1.79999999999995e+02°)
3.16227766016836e+05	(4.56288671827798e+01dB,1.77427836006719e+02°)	(5.88179595874298e+01dB,1.12974320528327e+02°)	(7.41599149284708e+01dB,1.79999999999991e+02°)
3.54813389233574e+05	(4.56264828448647e+01dB,1.77089177278211e+02°)	(5.79305091005577e+01dB,1.11233086478137e+02°)	(7.41599149284521e+01dB,1.79999999999990e+02°)
3.98107170553495e+05	(4.56234814772936e+01dB,1.76712176245822e+02°)	(5.70230531307053e+01dB,1.09711443433224e+02°)	(7.41599149284570e+01dB,-1.79999999999999e+02°)
4.46683592150961e+05	(4.56197047163167e+01dB,1.76291946397405e+02°)	(5.60992947327739e+01dB,1.08405484816176e+02°)	(7.41599149285034e+01dB,-1.79999999999992e+02°)
5.01187233627269e+05	(4.56149537604904e+01dB,1.75823075087591e+02°)	(5.51624796227680e+01dB,1.07310007384637e+02°)	(7.41599149284874e+01dB,-1.79999999999977e+02°)
5.62341325190346e+05	(4.56089792788461e+01dB,1.75299571004144e+02°)	(5.42154351826761e+01dB,1.06419353893459e+02°)	(7.41599149284321e+01dB,1.79999999999976e+02°)
6.30957344480190e+05	(4.56014689129002e+01dB,1.74714811681117e+02°)	(5.32606276121162e+01dB,1.05728074010500e+02°)	(7.41599149284758e+01dB,1.79999999999993e+02°)
7.07945784384134e+05	(4.55920318687352e+01dB,1.74061493372744e+02°)	(5.23002288916149e+01dB,1.05231420035264e+02°)	(7.41599149284596e+01dB,-1.80000000000000e+02°)
7.94328234724277e+05	(4.55801800304373e+01dB,1.73331586742351e+02°)	(5.13361881382303e+01dB,1.04925700660400e+02°)	(7.41599149284886e+01dB,-1.79999999999983e+02°)
8.91250938133740e+05	(4.55653049791958e+01dB,1.72516303366338e+02°)	(5.03703042896503e+01dB,1.04808515756665e+02°)	(7.41599149284855e+01dB,-1.79999999999970e+02°)
9.99999999999994e+05	(4.55466502948907e+01dB,1.71606080103782e+02°)	(4.94042987561272e+01dB,1.04878890777681e+02°)	(7.41599149284769e+01dB,-1.79999999999964e+02°)
1.12201845430196e+06	(4.55232785829912e+01dB,1.70590591029207e+02°)	(4.84398877714891e+01dB,1.05137322819167e+02°)	(7.41599149284335e+01dB,1.79999999999960e+02°)
1.25892541179416e+06	(4.54940328599656e+01dB,1.69458799921572e+02°)	(4.74788547116471e+01dB,1.05585742792341e+02°)	(7.41599149285002e+01dB,-1.79999999999901e+02°)
1.41253754462275e+06	(4.54574923174893e+01dB,1.68199070199607e+02°)	(4.65231226851235e+01dB,1.06227390301373e+02°)	(7.41599149284393e+01dB,1.79999999999950e+02°)
1.58489319246110e+06	(4.54119231656867e+01dB,1.66799353447623e+02°)	(4.55748272317097e+01dB,1.07066590163647e+02°)	(7.41599149284560e+01dB,-1.79999999999992e+02°)
1.77827941003891e+06	(4.53552263443999e+01dB,1.65247481695179e+02°)	(4.46363879560079e+01dB,1.08108412747536e+02°)	(7.41599149284796e+01dB,-1.79999999999952e+02°)
1.99526231496887e+06	(4.52848855073635e+01dB,1.63531591260346e+02°)	(4.37105763073431e+01dB,1.09358195519047e+02°)	(7.41599149284983e+01dB,-1.79999999999864e+02°)
2.23872113856832e+06	(4.51979209057412e+01dB,1.61640705336044e+02°)	(4.28005744502576e+01dB,1.10820902194656e+02°)	(7.41599149284598e+01dB,-1.79999999999982e+02°)
2.51188643150956e+06	(4.50908575845742e+01dB,1.59565495784012e+02°)	(4.19100173201165e+01dB,1.12500301415225e+02°)	(7.41599149284427e+01dB,1.79999999999892e+02°)
2.81838293126443e+06	(4.49597193759762e+01dB,1.57299228231642e+02°)	(4.10430068149127e+01dB,1.14397962343835e+02°)	(7.41599149284781e+01dB,-1.79999999999938e+02°)
3.16227766016836e+06	(4.48000628491156e+01dB,1.54838864966961e+02°)	(4.02040843291478e+01dB,1.16512093564484e+02°)	(7.41599149284826e+01dB,-1.79999999999986e+02°)
3.54813389233573e+06	(4.46070664670589e+01dB,1.52186255450066e+02°)	(3.93981466801764e+01dB,1.18836295886865e+02°)	(7.41599149284894e+01dB,1.79999999999984e+02°)
3.98107170553494e+06	(4.43756880447039e+01dB,1.49349287235354e+02°)	(3.86302925749972e+01dB,1.21358356374760e+02°)	(7.41599149284609e+01dB,-1.79999999999934e+02°)
4.46683592150960e+06	(4.41008964775685e+01dB,1.46342811328661e+02°)	(3.79055938389760e+01dB,1.24059269469985e+02°)	(7.41599149284696e+01dB,-1.79999999999940e+02°)
5.01187233627269e+06	(4.37779707301689e+01dB,1.43189115670833e+02°)	(3.72287985634867e+01dB,1.26912711265577e+02°)	(7.41599149284639e+01dB,1.79999999999926e+02°)
5.62341325190345e+06	(4.34028414238769e+01dB,1.39917725199972e+02°)	(3.66039909404679e+01dB,1.29885188130979e+02°)	(7.41599149284824e+01dB,1.79999999999989e+02°)
6.30957344480189e+06	(4.29724322388591e+01dB,1.36564379460272e+02°)	(3.60342506397361e+01dB,1.32937008300596e+02°)	(7.41599149284585e+01dB,1.79999999999935e+02°)
7.07945784384133e+06	(4.24849464855488e+01dB,1.33169181723191e+02°)	(3.55213664140981e+01dB,1.36024082013424e+02°)	(7.41599149285056e+01dB,-1.79999999999992e+02°)
7.94328234724276e+06	(4.19400453659612e+01dB,1.29774097330287e+02°)	(3.50656574206685e+01dB,1.39100372023643e+02°)	(7.41599149284666e+01dB,-1.79999999999894e+02°)
8.91250938133739e+06	(4.13388815235334e+01dB,1.26420144531576e+02°)	(3.46659386381557e+01dB,1.42120650736024e+02°)	(7.41599149284446e+01dB,-1.79999999999886e+02°)
9.99999999999993e+06	(4.06839806914720e+01dB,1.23144704600039e+02°)	(3.43196375187961e+01dB,1.45043136740084e+02°)	(7.41599149284490e+01dB,-1.79999999999888e+02°)
1.12201845430195e+07	(3.99789959565951e+01dB,1.19979344431630e+02°)	(3.40230372718359e+01dB,1.47831617117961e+02°)	(7.41599149284846e+01dB,1.79999999999972e+02°)
1.25892541179416e+07	(3.92283824540408e+01dB,1.16948408457879e+02°)	(3.37715988417394e+01dB,1.50456798361834e+02°)	(7.41599149284647e+01dB,-1.79999999999975e+02°)
1.41253754462274e+07	(3.84370484798611e+01dB,1.14068452605833e+02°)	(3.35603054307556e+01dB,1.52896812935734e+02°)	(7.41599149284832e+01dB,1.79999999999944e+02°)
1.58489319246110e+07	(3.76100321797473e+01dB,1.11348426359733e+02°)	(3.33839801972358e+01dB,1.55136975362395e+02°)	(7.41599149284807e+01dB,1.79999999999907e+02°)
1.77827941003891e+07	(3.67522366810737e+01dB,1.08790403989100e+02°)	(3.32375439986565e+01dB,1.57168986955791e+02°)	(7.41599149284563e+01dB,1.79999999999971e+02°)
1.99526231496886e+07	(3.58682379619800e+01dB,1.06390633402353e+02°)	(3.31161985614083e+01dB,1.58989821281588e+02°)	(7.41599149284426e+01dB,-1.79999999999973e+02°)
