Freq.	V(vin)/I(CB)	V(vc)/Ic(Q1)	V(vc)/V(vin)
1.41253754462275e+06	(4.64942681168424e+01dB,1.05464354625051e+02°)	(7.41514035219291e+01dB,1.79999999999937e+02°)	(4.54990497839312e+01dB,1.68166841259864e+02°)
1.58489319246110e+06	(4.55443295302685e+01dB,1.06392824090955e+02°)	(7.41514035219181e+01dB,-1.79999999999991e+02°)	(4.54532327581237e+01dB,1.66763556887726e+02°)
1.77827941003891e+06	(4.46046897192276e+01dB,1.07515142149742e+02°)	(7.41514035219679e+01dB,-1.79999999999983e+02°)	(4.53962311616189e+01dB,1.65207827371576e+02°)
1.99526231496887e+06	(4.36780529284639e+01dB,1.08837546496124e+02°)	(7.41514035219153e+01dB,1.79999999999926e+02°)	(4.53255177224115e+01dB,1.63487803899506e+02°)
2.23872113856832e+06	(4.27675507497916e+01dB,1.10365805647941e+02°)	(7.41514035219207e+01dB,1.79999999999909e+02°)	(4.52381007675947e+01dB,1.61592541250885e+02°)
2.51188643150956e+06	(4.18767806358688e+01dB,1.12104395682805e+02°)	(7.41514035218909e+01dB,1.79999999999957e+02°)	(4.51304929060746e+01dB,1.59512764170481e+02°)
2.81838293126443e+06	(4.10098167996821e+01dB,1.14055495510347e+02°)	(7.41514035218955e+01dB,1.79999999999901e+02°)	(4.49987058291495e+01dB,1.57241816834532e+02°)
3.16227766016836e+06	(4.01711795569417e+01dB,1.16217827352184e+02°)	(7.41514035219237e+01dB,-1.79999999999895e+02°)	(4.48382854410462e+01dB,1.54776768983323e+02°)
3.54813389233573e+06	(3.93657480845718e+01dB,1.18585413893219e+02°)	(7.41514035219247e+01dB,-1.79999999999839e+02°)	(4.46444025628338e+01dB,1.52119607254232e+02°)
3.98107170553494e+06	(3.85986037814618e+01dB,1.21146380629590e+02°)	(7.41514035219217e+01dB,-1.79999999999843e+02°)	(4.44120121941464e+01dB,1.49278383016040e+02°)
4.46683592150960e+06	(3.78747986422231e+01dB,1.23881990418095e+02°)	(7.41514035219153e+01dB,-1.79999999999926e+02°)	(4.41360870528545e+01dB,1.46268129408982e+02°)
5.01187233627269e+06	(3.71990561429326e+01dB,1.26766136711048e+02°)	(7.41514035219347e+01dB,1.79999999999980e+02°)	(4.38119179910712e+01dB,1.43111320743747e+02°)
5.62341325190345e+06	(3.65754298295873e+01dB,1.29765515693992e+02°)	(7.41514035219425e+01dB,1.79999999999887e+02°)	(4.34354561618043e+01dB,1.39837653621164e+02°)
6.30957344480189e+06	(3.60069628332838e+01dB,1.32840623183748e+02°)	(7.41514035219173e+01dB,-1.79999999999882e+02°)	(4.30036537518634e+01dB,1.36483003473840e+02°)
7.07945784384133e+06	(3.54954031199151e+01dB,1.35947577614616e+02°)	(7.41514035219418e+01dB,-1.79999999999984e+02°)	(4.25147484854038e+01dB,1.33087554737386e+02°)
7.94328234724276e+06	(3.50410277104354e+01dB,1.39040586351019e+02°)	(7.41514035219260e+01dB,-1.79999999999874e+02°)	(4.19684386494343e+01dB,1.29693286948535e+02°)
8.91250938133739e+06	(3.46426116292985e+01dB,1.42074708317119e+02°)	(7.41514035219339e+01dB,-1.79999999999943e+02°)	(4.13659128455134e+01dB,1.26341163323892e+02°)
9.99999999999993e+06	(3.42975479048677e+01dB,1.45008485104533e+02°)	(7.41514035219166e+01dB,-1.79999999999874e+02°)	(4.07097280777267e+01dB,1.23068449228537e+02°)
1.12201845430195e+07	(3.40020932916240e+01dB,1.47806049248216e+02°)	(7.41514035219358e+01dB,1.79999999999830e+02°)	(4.00035614105916e+01dB,1.19906551451419e+02°)
1.25892541179416e+07	(3.37516913702667e+01dB,1.50438456775813e+02°)	(7.41514035219303e+01dB,1.79999999999952e+02°)	(3.92518834100892e+01dB,1.16879630866430e+02°)
1.41253754462274e+07	(3.35413168714714e+01dB,1.52884175663482e+02°)	(7.41514035219091e+01dB,1.79999999999977e+02°)	(3.84596093525278e+01dB,1.14004056644589e+02°)
1.58489319246110e+07	(3.33657921656750e+01dB,1.55128827533413e+02°)	(7.41514035219426e+01dB,1.79999999999965e+02°)	(3.76317770417243e+01dB,1.11288604623438e+02°)
1.77827941003891e+07	(3.32200432441957e+01dB,1.57164383406658e+02°)	(7.41514035219083e+01dB,-1.79999999999920e+02°)	(3.67732836426822e+01dB,1.08735199245215e+02°)
1.99526231496886e+07	(3.30992810033398e+01dB,1.58988045582084e+02°)	(7.41514035219622e+01dB,1.79999999999988e+02°)	(3.58886953911578e+01dB,1.06339967533798e+02°)
2.23872113856832e+07	(3.29991088244913e+01dB,1.60601023331440e+02°)	(7.41514035218991e+01dB,-1.79999999999938e+02°)	(3.49821287935797e+01dB,1.04094398503052e+02°)
2.51188643150956e+07	(3.29155669368280e+01dB,1.62007356704670e+02°)	(7.41514035219666e+01dB,1.79999999999962e+02°)	(3.40571923677970e+01dB,1.01986455486728e+02°)
2.81838293126443e+07	(3.28451280452649e+01dB,1.63212884104748e+02°)	(7.41514035219663e+01dB,1.79999999999932e+02°)	(3.31169739125419e+01dB,1.00001548518313e+02°)
3.16227766016835e+07	(3.27846587268161e+01dB,1.64224400047199e+02°)	(7.41514035219180e+01dB,1.79999999999999e+02°)	(3.21640582187435e+01dB,9.81233245107465e+01°)
3.54813389233572e+07	(3.27313589231135e+01dB,1.65049015334225e+02°)	(7.41514035219559e+01dB,1.79999999999997e+02°)	(3.12005622863074e+01dB,9.63342689815739e+01°)
3.98107170553494e+07	(3.26826889249628e+01dB,1.65693712534100e+02°)	(7.41514035219269e+01dB,-1.79999999999993e+02°)	(3.02281780773184e+01dB,9.46161348095593e+01°)
4.46683592150959e+07	(3.26362904794873e+01dB,1.66165082023754e+02°)	(7.41514035219170e+01dB,-1.79999999999996e+02°)	(2.92482157389268e+01dB,9.29502241646069e+01°)
5.01187233627268e+07	(3.25899065421114e+01dB,1.66469224179506e+02°)	(7.41514035219295e+01dB,-1.79999999999996e+02°)	(2.82616426405471e+01dB,9.13175530847230e+01°)
5.62341325190344e+07	(3.25413029511908e+01dB,1.66611808232285e+02°)	(7.41514035219518e+01dB,-1.79999999999989e+02°)	(2.72691153709974e+01dB,8.96989274122286e+01°)
6.30957344480188e+07	(3.24881949797687e+01dB,1.66598284971643e+02°)	(7.41514035219258e+01dB,-1.80000000000000e+02°)	(2.62710030808095e+01dB,8.80749562971677e+01°)
7.07945784384132e+07	(3.24281823229949e+01dB,1.66434256686761e+02°)	(7.41514035219400e+01dB,1.79999999999992e+02°)	(2.52674013552419e+01dB,8.64260267527629e+01°)
7.94328234724274e+07	(3.23586975602797e+01dB,1.66126010663305e+02°)	(7.41514035219605e+01dB,-1.79999999999958e+02°)	(2.42581363066857e+01dB,8.47322607001678e+01°)
8.91250938133737e+07	(3.22769753816774e+01dB,1.65681219732478e+02°)	(7.41514035219419e+01dB,-1.79999999999989e+02°)	(2.32427589209791e+01dB,8.29734750316083e+01°)
1.00000000000000e+08	(3.21800525815151e+01dB,1.65109800987478e+02°)	(7.41514035218956e+01dB,1.79999999999949e+02°)	(2.22205300141999e+01dB,8.11291656258025e+01°)
