Freq.	V(vc)/V(vin)	V(vin)/I(CB)	V(vc)/Ic(Q1)
6.30957344480194e+03	(4.55569881457942e+01dB,-1.74571036499886e+02°)	(6.66489396488788e+01dB,1.74361117222855e+02°)	(7.41599149284304e+01dB,-1.79999999999968e+02°)
6.68343917568615e+03	(4.55613096312765e+01dB,-1.74879142725232e+02°)	(6.66443726092872e+01dB,1.74379777884808e+02°)	(7.41599149284816e+01dB,1.80000000000000e+02°)
7.07945784384138e+03	(4.55651646850592e+01dB,-1.75170648635089e+02°)	(6.66400443812220e+01dB,1.74380207262809e+02°)	(7.41599149284689e+01dB,-1.79999999999989e+02°)
7.49894209332456e+03	(4.55686032775518e+01dB,-1.75446461754578e+02°)	(6.66358987912688e+01dB,1.74362364094663e+02°)	(7.41599149284688e+01dB,1.79999999999999e+02°)
7.94328234724282e+03	(4.55716700943317e+01dB,-1.75707446778468e+02°)	(6.66318818893935e+01dB,1.74326156926761e+02°)	(7.41599149285038e+01dB,1.79999999999993e+02°)
8.41395141645196e+03	(4.55744050800688e+01dB,-1.75954427011521e+02°)	(6.66279412882473e+01dB,1.74271442892848e+02°)	(7.41599149284378e+01dB,-1.79999999999984e+02°)
8.91250938133746e+03	(4.55768439294476e+01dB,-1.76188185890117e+02°)	(6.66240255157872e+01dB,1.74198026589986e+02°)	(7.41599149284951e+01dB,1.79999999999996e+02°)
9.44060876285924e+03	(4.55790185296128e+01dB,-1.76409468557437e+02°)	(6.66200833750651e+01dB,1.74105659031108e+02°)	(7.41599149284347e+01dB,-1.79999999999981e+02°)
1.00000000000000e+04	(4.55809573584190e+01dB,-1.76618983469404e+02°)	(6.66160633048735e+01dB,1.73994036660415e+02°)	(7.41599149284378e+01dB,-1.79999999999978e+02°)
1.05925372517729e+04	(4.55826858424926e+01dB,-1.76817404012752e+02°)	(6.66119127348318e+01dB,1.73862800424401e+02°)	(7.41599149284852e+01dB,1.79999999999979e+02°)
1.12201845430196e+04	(4.55842266788377e+01dB,-1.77005370120196e+02°)	(6.66075774283574e+01dB,1.73711534897499e+02°)	(7.41599149284605e+01dB,1.79999999999992e+02°)
1.18850222743702e+04	(4.55856001234358e+01dB,-1.77183489870694e+02°)	(6.66030008069101e+01dB,1.73539767468229e+02°)	(7.41599149284681e+01dB,-1.79999999999986e+02°)
1.25892541179417e+04	(4.55868242500194e+01dB,-1.77352341065332e+02°)	(6.65981232487673e+01dB,1.73346967598011e+02°)	(7.41599149284991e+01dB,1.79999999999989e+02°)
1.33352143216333e+04	(4.55879151819308e+01dB,-1.77512472771524e+02°)	(6.65928813555752e+01dB,1.73132546172152e+02°)	(7.41599149284714e+01dB,1.79999999999996e+02°)
1.41253754462276e+04	(4.55888872997272e+01dB,-1.77664406830024e+02°)	(6.65872071798519e+01dB,1.72895854970032e+02°)	(7.41599149284580e+01dB,-1.79999999999996e+02°)
1.49623565609443e+04	(4.55897534269570e+01dB,-1.77808639320719e+02°)	(6.65810274066456e+01dB,1.72636186289337e+02°)	(7.41599149284388e+01dB,1.80000000000000e+02°)
1.58489319246111e+04	(4.55905249963072e+01dB,-1.77945641984441e+02°)	(6.65742624826605e+01dB,1.72352772768926e+02°)	(7.41599149285049e+01dB,1.79999999999991e+02°)
1.67880401812256e+04	(4.55912121981160e+01dB,-1.78075863599052e+02°)	(6.65668256863129e+01dB,1.72044787463975e+02°)	(7.41599149284466e+01dB,-1.79999999999992e+02°)
1.77827941003892e+04	(4.55918241130541e+01dB,-1.78199731308899e+02°)	(6.65586221325401e+01dB,1.71711344238586e+02°)	(7.41599149284570e+01dB,1.79999999999995e+02°)
1.88364908948980e+04	(4.55923688306012e+01dB,-1.78317651907437e+02°)	(6.65495477066669e+01dB,1.71351498552823e+02°)	(7.41599149284516e+01dB,-1.79999999999990e+02°)
1.99526231496888e+04	(4.55928535547837e+01dB,-1.78430013073362e+02°)	(6.65394879224185e+01dB,1.70964248734672e+02°)	(7.41599149284881e+01dB,-1.79999999999998e+02°)
2.11348903983665e+04	(4.55932846984920e+01dB,-1.78537184561070e+02°)	(6.65283167001784e+01dB,1.70548537841562e+02°)	(7.41599149284988e+01dB,1.79999999999991e+02°)
2.23872113856834e+04	(4.55936679675621e+01dB,-1.78639519346601e+02°)	(6.65158950630931e+01dB,1.70103256232142e+02°)	(7.41599149284586e+01dB,-1.79999999999995e+02°)
2.37137370566166e+04	(4.55940084356819e+01dB,-1.78737354730517e+02°)	(6.65020697505212e+01dB,1.69627244985537e+02°)	(7.41599149284894e+01dB,1.79999999999994e+02°)
2.51188643150958e+04	(4.55943106110758e+01dB,-1.78831013399398e+02°)	(6.64866717508407e+01dB,1.69119300322419e+02°)	(7.41599149285020e+01dB,1.79999999999994e+02°)
2.66072505979881e+04	(4.55945784958174e+01dB,-1.78920804447801e+02°)	(6.64695147588802e+01dB,1.68578179199990e+02°)	(7.41599149284488e+01dB,-1.79999999999998e+02°)
2.81838293126446e+04	(4.55948156385295e+01dB,-1.79007024362660e+02°)	(6.64503935672695e+01dB,1.68002606270751e+02°)	(7.41599149284469e+01dB,-1.79999999999997e+02°)
2.98538261891796e+04	(4.55950251811513e+01dB,-1.79089957972197e+02°)	(6.64290824059927e+01dB,1.67391282408530e+02°)	(7.41599149284815e+01dB,1.79999999999998e+02°)
3.16227766016838e+04	(4.55952099003745e+01dB,-1.79169879361498e+02°)	(6.64053332505931e+01dB,1.66742895021577e+02°)	(7.41599149284573e+01dB,-1.79999999999999e+02°)
