Freq.	V(vout)/V(vin)	V(vin)/Ix(x1:VIN)
4.21696503428583e+04	(5.89628236459853e+01dB,-1.74887208496444e+01°)	(8.37213339780291e+01dB,-2.41320999329084e+01°)
4.46683592150963e+04	(5.89156535147665e+01dB,-1.84591166283838e+01°)	(8.35497489373880e+01dB,-2.48598372853464e+01°)
4.73151258961481e+04	(5.88633305928772e+01dB,-1.94752959899082e+01°)	(8.33690502385746e+01dB,-2.55546335208601e+01°)
5.01187233627273e+04	(5.88053641077620e+01dB,-2.05381155192533e+01°)	(8.31796135449975e+01dB,-2.62104607844804e+01°)
5.30884444230989e+04	(5.87412326096952e+01dB,-2.16482248945406e+01°)	(8.29819392705323e+01dB,-2.68214486918120e+01°)
5.62341325190350e+04	(5.86703855834083e+01dB,-2.28060304111323e+01°)	(8.27766514176154e+01dB,-2.73820112629825e+01°)
5.95662143529011e+04	(5.85922459641011e+01dB,-2.40116571798757e+01°)	(8.25644930209997e+01dB,-2.78869741246980e+01°)
6.30957344480194e+04	(5.85062136729253e+01dB,-2.52649109483314e+01°)	(8.23463181925749e+01dB,-2.83316975495820e+01°)
6.68343917568615e+04	(5.84116702615096e+01dB,-2.65652407064231e+01°)	(8.21230809104953e+01dB,-2.87121909876363e+01°)
7.07945784384139e+04	(5.83079847377598e+01dB,-2.79117035310856e+01°)	(8.18958208272464e+01dB,-2.90252150492984e+01°)
7.49894209332457e+04	(5.81945205919111e+01dB,-2.93029333103394e+01°)	(8.16656464925973e+01dB,-2.92683673756858e+01°)
7.94328234724282e+04	(5.80706439887744e+01dB,-3.07371151641588e+01°)	(8.14337164813537e+01dB,-2.94401494548559e+01°)
8.41395141645196e+04	(5.79357330315551e+01dB,-3.22119674779139e+01°)	(8.12012189867368e+01dB,-2.95400121351975e+01°)
8.91250938133746e+04	(5.77891879203684e+01dB,-3.37247334219968e+01°)	(8.09693504906983e+01dB,-2.95683783463196e+01°)
9.44060876285924e+04	(5.76304417480171e+01dB,-3.52721836433876e+01°)	(8.07392941533670e+01dB,-2.95266423025062e+01°)
1.00000000000000e+05	(5.74589716144707e+01dB,-3.68506315572058e+01°)	(8.05121985613807e+01dB,-2.94171452562886e+01°)
1.05925372517729e+05	(5.72743096490909e+01dB,-3.84559620921601e+01°)	(8.02891574799069e+01dB,-2.92431286406410e+01°)
1.12201845430196e+05	(5.70760535107889e+01dB,-4.00836742017517e+01°)	(8.00711912042376e+01dB,-2.90086662184962e+01°)
1.18850222743702e+05	(5.68638758916594e+01dB,-4.17289366586053e+01°)	(7.98592300680403e+01dB,-2.87185775955026e+01°)
1.25892541179417e+05	(5.66375325746499e+01dB,-4.33866558835095e+01°)	(7.96541005818171e+01dB,-2.83783261464016e+01°)
1.33352143216333e+05	(5.63968686355407e+01dB,-4.50515537922995e+01°)	(7.94565145766924e+01dB,-2.79939050017846e+01°)
1.41253754462276e+05	(5.61418224605114e+01dB,-4.67182529314744e+01°)	(7.92670616105753e+01dB,-2.75717151961063e+01°)
1.49623565609444e+05	(5.58724273637252e+01dB,-4.83813657010817e+01°)	(7.90862047516420e+01dB,-2.71184403417861e+01°)
1.58489319246112e+05	(5.55888107096448e+01dB,-5.00355841064959e+01°)	(7.89142797126375e+01dB,-2.66409222596245e+01°)
1.67880401812256e+05	(5.52911905960474e+01dB,-5.16757665084509e+01°)	(7.87514971574174e+01dB,-2.61460417636841e+01°)
1.77827941003893e+05	(5.49798702729830e+01dB,-5.32970180064761e+01°)	(7.85979478733904e+01dB,-2.56406083992070e+01°)
1.88364908948980e+05	(5.46552305995221e+01dB,-5.48947615722098e+01°)	(7.84536103886972e+01dB,-2.51312622721056e+01°)
1.99526231496888e+05	(5.43177209248559e+01dB,-5.64647977098387e+01°)	(7.83183605329161e+01dB,-2.46243903125488e+01°)
2.11348903983665e+05	(5.39678488371890e+01dB,-5.80033511232986e+01°)	(7.81919823965068e+01dB,-2.41260584567093e+01°)
2.23872113856834e+05	(5.36061692483707e+01dB,-5.95071037300872e+01°)	(7.80741801303004e+01dB,-2.36419603230050e+01°)
2.37137370566166e+05	(5.32332732628605e+01dB,-6.09732140496693e+01°)	(7.79645900599543e+01dB,-2.31773821557640e+01°)
2.51188643150958e+05	(5.28497772489412e+01dB,-6.23993237319986e+01°)	(7.78627926318353e+01dB,-2.27371830687485e+01°)
2.66072505979881e+05	(5.24563124586193e+01dB,-6.37835524574510e+01°)	(7.77683237882629e+01dB,-2.23257890924227e+01°)
