x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-8.73000E-06,-99.38147003E-03,-71.38955919E-03,-295.92754E-06,-7.35238684E-03
-8.72000E-06,-84.49186706E-03,-63.80950733E-03,-66.21182E-06,-6.81970876E-03
-8.71000E-06,-72.44110878E-03,-54.80959969E-03,+113.59638E-06,-6.66641544E-03
-8.70000E-06,-70.40649224E-03,-48.54398481E-03,-281.66189E-06,-7.03157753E-03
-8.69000E-06,-63.92894678E-03,-41.22659420E-03,-416.58965E-06,-7.66974149E-03
-8.68000E-06,-46.86143009E-03,-29.24137874E-03,-667.06876E-06,-7.51764295E-03
-8.67000E-06,-42.52535217E-03,-26.06151540E-03,-425.74680E-06,-7.48781588E-03
-8.66000E-06,-29.42756709E-03,-11.21838415E-03,-433.01945E-06,-7.68815002E-03
-8.65000E-06,-26.23613294E-03,-6.43142136E-03,-353.16651E-06,-7.55768400E-03
-8.64000E-06,-18.31634387E-03,+4.53232109E-03,-441.98815E-06,-7.47258461E-03
-8.63000E-06,-7.06566783E-03,+9.26599029E-03,-113.75015E-06,-7.14275082E-03
-8.62000E-06,-457.33824E-06,+14.04575429E-03,-407.11063E-06,-7.51379254E-03
-8.61000E-06,+6.53388354E-03,+24.49597118E-03,-421.14335E-06,-7.52276049E-03
-8.60000E-06,+16.52816512E-03,+25.30909415E-03,-453.88159E-06,-7.44264598E-03
-8.59000E-06,+20.57369122E-03,+38.13871524E-03,-493.09045E-06,-7.65343607E-03
-8.58000E-06,+30.40311695E-03,+47.70713807E-03,-516.92632E-06,-7.74270547E-03
-8.57000E-06,+40.02709477E-03,+55.24181124E-03,-400.70710E-06,-7.50806668E-03
-8.56000E-06,+55.38589992E-03,+66.13349051E-03,-246.38561E-06,-7.37538299E-03
-8.55000E-06,+62.76397134E-03,+74.32540101E-03,-109.42561E-06,-7.32365353E-03
-8.54000E-06,+68.82044469E-03,+84.26326073E-03,-479.63815E-06,-7.70343405E-03
-8.53000E-06,+74.57004647E-03,+95.45770336E-03,-540.24057E-06,-7.42726245E-03
-8.52000E-06,+89.32897838E-03,+105.73628023E-03,-687.98216E-06,-7.64727677E-03
-8.51000E-06,+91.42224048E-03,+116.46091764E-03,-236.61713E-06,-7.42890950E-03
-8.50000E-06,+103.23381835E-03,+123.58232051E-03,-488.55559E-06,-7.12583105E-03
-8.49000E-06,+112.95978517E-03,+129.65500054E-03,-363.26817E-06,-6.98141145E-03
-8.48000E-06,+120.91963865E-03,+142.41994567E-03,-201.85418E-06,-7.15389197E-03
-8.47000E-06,+129.33000010E-03,+150.88435451E-03,-526.08272E-06,-7.54998092E-03
-8.46000E-06,+139.70920913E-03,+158.48004770E-03,-512.87390E-06,-7.69087877E-03
-8.45000E-06,+147.34070778E-03,+161.16293137E-03,-153.83191E-06,-7.73848344E-03
-8.44000E-06,+154.67049838E-03,+168.62422221E-03,-363.17470E-06,-7.64880925E-03
-8.43000E-06,+158.86520130E-03,+174.40996865E-03,+84.50200E-06,-6.95566470E-03
-8.42000E-06,+169.86489996E-03,+184.53793647E-03,-179.38117E-06,-6.94145182E-03
-8.41000E-06,+178.38561758E-03,+185.68947750E-03,-14.74092E-06,-7.07770174E-03
-8.40000E-06,+180.93048066E-03,+196.63249048E-03,+72.29648E-06,-7.43743572E-03
-8.39000E-06,+185.93389682E-03,+203.81800395E-03,-234.38136E-06,-7.04485871E-03
-8.38000E-06,+193.79134671E-03,+211.00988703E-03,-267.71812E-06,-7.58911289E-03
-8.37000E-06,+206.78408990E-03,+217.95067966E-03,-185.97239E-06,-7.45252828E-03
-8.36000E-06,+213.55588080E-03,+227.74147320E-03,-134.04091E-06,-7.06449066E-03
-8.35000E-06,+220.05366577E-03,+227.98385726E-03,+129.54978E-06,-6.91581210E-03
-8.34000E-06,+226.46487692E-03,+240.24647075E-03,-1.79593E-06,-6.99085731E-03
-8.33000E-06,+231.49135933E-03,+244.98609496E-03,-132.63508E-06,-7.11251293E-03
