x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-94.0800E-06,-283.0088330E-03,+1.7476444858E+00,+640.5465077E-03,+1.0328203728E+00
-93.9600E-06,-291.1746621E-03,+1.7504711189E+00,+573.9635938E-03,+966.2374590E-03
-93.8400E-06,-296.5138580E-03,+1.7558103148E+00,+510.5213834E-03,+900.5967562E-03
-93.7200E-06,-301.5389836E-03,+1.7595791590E+00,+450.8480173E-03,+836.8404754E-03
-93.6000E-06,-309.3907423E-03,+1.7646042846E+00,+399.3404801E-03,+778.7374610E-03
-93.4800E-06,-315.0440086E-03,+1.7683731288E+00,+347.5188726E-03,+725.9736424E-03
-93.3600E-06,-319.4409934E-03,+1.7715138323E+00,+297.8957576E-03,+669.4409797E-03
-93.2400E-06,-324.4661190E-03,+1.7765389578E+00,+254.2399792E-03,+614.1645984E-03
-93.1200E-06,-330.4334556E-03,+1.7809359427E+00,+210.5842007E-03,+566.1118351E-03
-93.0000E-06,-336.7148626E-03,+1.7869032793E+00,+167.8706333E-03,+519.3153532E-03
-92.8800E-06,-342.6821992E-03,+1.7903580532E+00,+131.4384729E-03,+473.7751527E-03
-92.7600E-06,-348.3354655E-03,+1.7941268973E+00,+98.7751567E-03,+428.2349522E-03
-92.6400E-06,-352.4183800E-03,+1.7988379526E+00,+72.0791771E-03,+389.2902290E-03
-92.5200E-06,-359.0138573E-03,+1.8044912188E+00,+49.1520417E-03,+356.6269127E-03
-92.4000E-06,-364.9811940E-03,+1.8085741334E+00,+32.5063132E-03,+329.3027924E-03
-92.2800E-06,-369.6922492E-03,+1.8161118217E+00,+21.8279213E-03,+301.6646018E-03
-92.1600E-06,-374.4033044E-03,+1.8205088066E+00,+13.6620923E-03,+274.6545518E-03
-92.0400E-06,-379.4284300E-03,+1.8239635804E+00,+11.1495295E-03,+251.4133460E-03
